stock_symbol,03,04,05,06,07,10,11,12,13,14,17,18
ASIANPAINT,151.93779931260087,20.57347981222665,32.198148493477674,33.640696038740316,40.76988568974048,29.124861127966142,120.6184902040759,39.96416067274913,130.7299937245789,50.850858713567504,53.522574674317184,50.35697281227658
NTPC,2.2851351789387877,1.159623483507005,1.648271357640823,-1.2001773375436073,1.3596016646649787,-5.611994058363905,2.5356170810831884,2.485410826453574,1.6342764122130973,13.131839021920626,-15.716745156560421,-7.655454984455218
TATAMOTORS,7.565134945538148,6.592737386487812,-0.1433610087150896,19.681035729496443,-2.2041681211015316,6.385719556203753,-7.112205925050546,2.5994561119363198,9.565172840364653,5.538612756839711,15.166633765106667,25.886550791236232
AXISBANK,18.201465273835538,6.134323305323733,93.11408410737954,55.13502428068273,-39.99268034908505,5.130499131779288,10.921916786474412,4.0103611876375,5.916872529648344,11.827078942253138,3.8935473210838154,7.36581920283902
ACC,37.46869373157506,7.2831883357273455,87.95323644551695,84.93734377275632,83.88679972747309,-45.179114237029125,11.97255686960716,5.963614101705389,6.4000275748692275,-80.52767151241142,10.115250011141143,6.012288178575318
BPCL,10.744386290895932,4.2685846719418805,6.100699657736243,5.064711538046026,4.952004515744818,3.591913810264259,4.7333895777975385,7.0342287170270765,24.14571221708968,4.78188791413379,21.868311816474147,4.570796215127871
INFY,20.612245887561585,12.929907041639126,-61.268497167443456,78.63742219937285,34.2139781461824,97.1113154518689,45.67607975484452,95.85938937208743,114.98539520775694,-19.875082240854226,-238.48930944815993,-107.96833987918217
MARUTI,5.9176453675495395,87.50319533560287,4.907922351866546,88.35671272612603,5.880593489845069,6.135549398368767,25.381097324594066,7.299973672787701,27.1191768876256,37.100139653773795,6.078514754368598,5.328670908797449
CIPLA,-42.4198756643554,1.7092830126475747,47.752764601030094,2.561071303722656,32.5154255027083,2.339509816061309,0.6548705837262787,-18.84503845154478,14.558803092967082,2.9813410261332933,1.3015845607200731,2.1407611299482596
ITC,3.028233322778192,1.307517740420451,-2.0815407178246232,2.103896610802508,1.760294292204776,7.713075330320407,12.523008429850734,0.3204401896282434,0.15263766553567848,5.0009763630105795,26.66003044890408,1.6011833425232567
ICICIBANK,16.14122621612728,-36.29196580603309,44.55310118960392,25.374940007587156,12.500524316971905,6.0669087700614455,16.00301200739932,-23.572844178373543,8.095371142935846,43.65180404839498,116.05551666216797,-9.801879776651163
BAJAJ-AUTO,34.34575444646339,85.63083211900857,5.838111610885562,-101.48042441760731,8.783705331600231,8.950630341702436,7.534958833362225,14.101734102702494,38.42053433889123,7.014123450987427,6.623022442844103,11.255156178676316
IDFC,6.053482791079659,3.7375313303422786,21.174875646716487,-6.109385109303105,0.7634204286532906,-11.084367327122095,-8.747073131931188,6.201072610146184,1.5075062047909285,1.2820616619758027,0.8013112128334399,0.9678435542291481
TCS,5.619286917489717,41.36320634636695,-40.7517729054598,54.51477506160495,30.981173981806478,5.1056724145933,31.234120663265003,147.3010461049521,-2.9227243073787577,-45.08462369982021,-63.49880341687026,-28.644225311076752
JPASSOCIAT,6.140611782024436,-2.25957991544675,-5.792901736229339,-1.4809545518840252,-0.9185795259241445,7.976894412192252,-11.204847424037666,7.58955271758721,3.2360898300370735,6.180036390760307,5.024752991474969,4.6132775247952935
HDFC,3.310954223164458,3.642696704789728,0.6394903951539845,6.610165735599139,36.10620003681811,7.101013027286967,7.512061571555023,78.00783732188165,24.687886516642607,3.2544640859008496,17.913950749120886,4.75439695095281
WIPRO,8.440826979608516,-26.246369498533966,-40.10581317671944,3.8435003878249177,2.57101633784373,46.70856353044911,2.544084032797855,-8.048150519289607,4.224512356774596,-32.772299796844436,-14.271023448726964,4.584674075860335
RELIANCE,22.066864790686736,-20.245381654796915,-12.924521606252824,-29.706479240240924,-43.73499658634364,95.95999495355954,-43.303731842643174,0.4557454701663346,25.94269015957343,-11.629957760888146,2.9319415721341784,68.92379877592509
ONGC,17.008545612133418,8.77282250348486,-12.26968420454159,2.6758273362745797,14.181364504521724,2.8270447674035495,3.0186135095171096,-20.182705842482477,1.273755015719729,-6.185857927341601,1.5434935885982668,1.856146035430612
LT,10.677439634302573,-178.56376732637204,-39.551793096322854,-159.62510608918114,56.673582411123334,-180.3945249950675,-79.480207690111,30.01591226152732,141.37542495735738,49.35738630470314,9.844503633671138,-6.149696469869468
